Date,Close,Open,Low,High,Volume
2022-11-17,16687.517578125,16670.42578125,16460.68359375,16726.439453125,27868914022
2022-11-18,16697.77734375,16687.912109375,16564.611328125,16947.05859375,26862218609
2022-11-19,16711.546875,16696.220703125,16570.41015625,16797.876953125,16106223492
2022-11-20,16291.83203125,16712.919921875,16248.6923828125,16746.779296875,21313378652
2022-11-21,15787.2841796875,16291.2236328125,15599.046875,16291.2236328125,37429485518
2022-11-22,16189.76953125,15782.30078125,15656.6064453125,16253.0478515625,30726828760
2022-11-23,16610.70703125,16195.5888671875,16170.5029296875,16638.193359375,32958875628
2022-11-24,16604.46484375,16611.63671875,16501.767578125,16771.474609375,26129037414
2022-11-25,16521.841796875,16602.26953125,16388.404296875,16603.31640625,18678255976
2022-11-26,16464.28125,16521.576171875,16416.228515625,16666.86328125,18000008764
2022-11-27,16444.626953125,16463.8828125,16437.025390625,16594.40625,20443898509
2022-11-28,16217.322265625,16440.22265625,16054.5302734375,16482.93359375,27743025156
2022-11-29,16444.982421875,16217.6396484375,16139.396484375,16522.2578125,23581685468
2022-11-30,17168.56640625,16445.4765625,16445.4765625,17190.9375,29523576583
2022-12-01,16967.1328125,17168.001953125,16888.388671875,17197.498046875,22895392882
2022-12-02,17088.66015625,16968.68359375,16877.880859375,17088.66015625,19539705127
2022-12-03,16908.236328125,17090.09765625,16888.140625,17116.041015625,16217776704
2022-12-04,17130.486328125,16908.169921875,16903.439453125,17157.767578125,16824520830
2022-12-05,16974.826171875,17128.89453125,16922.431640625,17378.15234375,22209086834
2022-12-06,17089.50390625,16975.23828125,16939.921875,17091.86328125,19889922369
2022-12-07,16848.126953125,17089.505859375,16750.55859375,17109.376953125,19675404389
2022-12-08,17233.474609375,16847.349609375,16788.783203125,17267.916015625,20496603770
2022-12-09,17133.15234375,17232.1484375,17100.8359375,17280.546875,20328426366
2022-12-10,17128.724609375,17134.220703125,17120.68359375,17216.826171875,12706781969
2022-12-11,17104.193359375,17129.7109375,17091.8203125,17245.634765625,14122486832
2022-12-12,17206.4375,17102.5,16899.39453125,17212.564453125,19617581341
2022-12-13,17781.318359375,17206.44140625,17111.763671875,17930.0859375,26634741631
2022-12-14,17815.650390625,17782.06640625,17739.513671875,18318.53125,25534481470
2022-12-15,17364.865234375,17813.64453125,17322.58984375,17846.744140625,20964448341
2022-12-16,16647.484375,17364.546875,16584.701171875,17505.525390625,24031608960
2022-12-17,16795.091796875,16646.982421875,16614.029296875,16800.58984375,14463581825
